Target,Prediction,Tissue,Genotype,Treatment
GSM3040086,13.232988,seedlings,Col-0,--
GSM3056174,17.081242,Germinating seeds,ago4-2,Salinity
GSM3056172,18.523067,Germinating seeds,ago4-2,control
GSM3056176,15.027256,Germinating seeds,ago4-3,control
GSM3056168,20.209604,Germinating seeds,wild type,control
SRX3823232,8.528631,leaves,--,--
GSM3070202,18.112225,seedlings,bdrs triple mutant,COLD
GSM3070187,19.381802,seedlings,bdrs triple mutant,DARK
GSM3070205,18.1317,seedlings,bdrs triple mutant,HEAT
GSM3070190,31.306837,seedlings,bdrs triple mutant,LIGHT2h
GSM3070193,24.480606,seedlings,bdrs triple mutant,LIGHT4h
GSM3070196,15.260219,seedlings,wild type,COLD
GSM3070178,23.134,seedlings,wild type,DARK
GSM3070199,15.161007,seedlings,wild type,HEAT
GSM3070181,31.354149,seedlings,wild type,LIGHT2h
GSM3070184,20.53119,seedlings,wild type,LIGHT4h
GSM3070163,19.56142,seedlings,bdr1 mutant (SALK_142108C),--
GSM3070166,17.776459,seedlings,bdr2 mutant (CS852350),--
GSM3070169,16.263252,seedlings,bdr3 mutant (SALK_059905),--
GSM3070172,15.33466,seedlings,bdrs triple mutant,--
GSM3070175,16.407513,seedlings,fpa mutant (fpa-7),--
GSM3070160,19.65039,seedlings,wild type,--
GSM3070154,15.371668,seedlings,bdr triple mutant,--
GSM3070157,18.24818,seedlings,fpa single mutant (fpa-7),--
SRX3873888,24.272873,sepal,--,--
SRX3873884,23.714523,sepal,--,--
SRX3873883,27.661549,sepal,--,--
GSM3075911,14.824604,seedlings,cop1-4,--
GSM3075914,18.291073,seedlings,spaQ,--
GSM3075908,19.760471,seedlings,wild type,--
SRX3898692,20.506262,whole seedling,--,psNTP9 constitutive expression
SRX3898688,15.333226,whole seedling,--,psNTP9-DM constitutive expression
SRX3898689,19.033478,whole seedling,wild type,none
GSM3092002,19.857365,seedlings,det1-1,Dark
GSM3092000,17.98434,seedlings,det1-1,Light
GSM3092006,18.96913,seedlings,det1-1ubp22,Light
GSM3092004,17.123703,seedlings,ubp22,Light
GSM3091998,26.364988,seedlings,wild type,Dark
GSM3091996,15.851377,seedlings,wild type,Light
SRX3960079,22.165928,whole plant,--,--
SRX3960081,18.17057,whole plant,wild type,--
SRX3964267,14.915933,seedlings,35S:EMB2261 expressed in emb2261-2,--
SRX3964269,17.401316,seedlings,ABI3:EMB2261 expressed in emb2261-2,--
SRX3964265,16.834253,seedlings,Col-0,--
SRX4047579,19.564901,Seedling,--,--
SRX4047585,21.467142,Seedling,--,--
SRX4047581,17.496805,Seedling,--,--
SRX3993281,18.295143,Seedling,--,--
SRX3993279,15.4795065,Seedling,--,--
SRX4459352,46.51339,leaves,Col-0,ABA
SRX4459356,22.903305,leaves,Col-0,Mock
SRX4459343,24.460281,leaves,abi5,no treatment
SRX4459342,41.013714,leaves,abi5,treated with 100 Î¼M ABA Hor 4 h
SRX4459354,18.089045,leaves,xiw1,Mock
SRX4459346,46.657913,leaves,xiw1,treated with 100 Î¼M ABA Hor 4 h
SRX4020047,19.758842,leaf,--,Mite-inHested
SRX4020067,17.378056,leaf,--,Mite-inHested
SRX4020057,14.363303,leaf,--,Mite-inHested
SRX4020051,16.387018,leaf,--,Non-inHested control
SRX4020049,17.379646,leaf,--,Non-inHested control
SRX4020061,12.752766,leaf,--,Non-inHested control
GSM3137763,24.0848,stem,wild type,--
GSM3137768,18.847776,stem,wild type TRAP,--
GSM3138026,19.28563,5day whole seedlings,MIR394A overexpression,--
GSM3138028,17.579216,5day whole seedlings,bin2-1,--
GSM3138023,17.550402,5day whole seedlings,wild type,--
GSM3138460,26.07687,root,bzr1-D,--
GSM3138457,20.299187,root,wild type,Mock
GSM3138458,23.007801,root,wild type,Pi deHicient
SRX4062703,28.702269,root,pho2,P_limited
SRX4062687,25.251781,root,pho2,P_replete
SRX4062666,21.822144,root,pho2,P_resupplied
SRX4062668,25.215492,root,phr1-1,P_limited
SRX4062656,26.908993,root,phr1-1,P_replete
SRX4062652,23.8774,root,phr1-1,P_resupplied
SRX4062682,26.022102,root,phr1-2,P_limited
SRX4062683,21.469574,root,phr1-2,P_replete
SRX4062738,20.082685,root,phr1-2,P_resupplied
SRX4062719,27.221472,root,spx4-1,P_limited
SRX4062713,29.56374,root,spx4-1,P_replete
SRX4062744,24.484314,root,spx4-1,P_resupplied
SRX4062674,32.581455,root,wild type,P_limited
SRX4062662,26.058884,root,wild type,P_replete
SRX4062755,23.66708,root,wild type,P_resupplied
SRX4062691,26.654593,shoot,pho2,P_limited
SRX4062688,17.632595,shoot,pho2,P_replete
SRX4062663,13.603554,shoot,pho2,P_resupplied
SRX4062667,15.213822,shoot,phr1-1,P_limited
SRX4062654,11.59515,shoot,phr1-1,P_replete
SRX4062661,11.530367,shoot,phr1-1,P_resupplied
SRX4062762,18.45976,shoot,phr1-2,P_limited
SRX4062735,14.96995,shoot,phr1-2,P_replete
SRX4062732,12.99971,shoot,phr1-2,P_resupplied
SRX4062716,21.08597,shoot,spx4-1,P_limited
SRX4062747,15.110441,shoot,spx4-1,P_resupplied
SRX4062681,13.246426,shoot,wild type,P_replete
SRX4062752,11.6181345,shoot,wild type,P_resupplied
SRX4079875,22.13424,shoot,--,--
GSM3140722,17.032516,seedlings,pyl duodecuple,1/2 MS Hor 24 hours
GSM3140716,15.638704,seedlings,pyl duodecuple,100 microM ABA Hor 24 hours
GSM3140719,23.387184,seedlings,pyl duodecuple,300 mM mannitol Hor 24 hours
GSM3140731,16.72663,seedlings,wild type,1/2 MS Hor 24 hours
GSM3140725,26.347399,seedlings,wild type,100 microM ABA Hor 24 hours
GSM3140728,31.327362,seedlings,wild type,300 mM mannitol Hor 24 hours
SRX4093034,20.445004,seed,--,HR_R light VS HR
SRX4093033,20.893911,seed,--,Mock
GSM3146384,18.574612,leaves,--,ABA 48h
SRX4120863,9.036526,aerial seedling,--,Mock
SRX4120852,30.21318,aerial seedling,--,dehydration 3h
GSM3154218,27.20005,leaf,trm5 -/-,--
SRX4130416,10.760848,shoot,wild type,Mock
SRX4130393,20.88992,shoot,wild type,touch
SRX4130398,25.476934,shoot,wild type,touch 12h30
SRX4130395,18.906464,shoot,wild type,touch 24h30
SRX4130381,14.169422,shoot,wild type,touch 30min
GSM3162109,24.129217,4day seedlings,rrc1-3,3h red light
GSM3162115,23.817701,4day seedlings,wild type,3h red light
GSM3162112,27.926062,4day seedlings,wild type,control
SRX4183546,17.192823,Inflorescence stem,cry1,--
SRX4183548,17.91687,Inflorescence stem,wild type,--
GSM3184457,14.06975,seedlings,wild type,photoperiod*
GSM3184401,14.012627,seedlings,wild type,photoperiod*
GSM3184415,14.913822,seedlings,wild type,photoperiod*
GSM3204832,14.252957,12-day-old whole seedling tissue,cca1lhy,22Â°C_1h
GSM3204840,19.441032,12-day-old whole seedling tissue,cca1lhy,37Â°C_1h
GSM3204845,23.379642,12-day-old whole seedling tissue,prr7prr9,10Â°C_6h
GSM3204849,10.287488,12-day-old whole seedling tissue,prr7prr9,22Â°C_6h
GSM3204851,18.534647,12-day-old whole seedling tissue,prr7prr9,37Â°C_6h
GSM3204822,20.415253,12-day-old whole seedling tissue,wild type,10Â°C_1h
GSM3204844,19.924894,12-day-old whole seedling tissue,wild type,10Â°C_6h
GSM3204848,12.889406,12-day-old whole seedling tissue,wild type,22Â°C_6h
GSM3204837,20.80634,12-day-old whole seedling tissue,wild type,37Â°C_1h
GSM3204850,20.897675,12-day-old whole seedling tissue,wild type,37Â°C_6h
GSM3209218,10.473919,rosette,wild type,SD
GSM3209221,13.645409,rosette,wild type,SD_2dLD*
GSM3209224,13.4198,rosette,wild type,SD_3dLD*
GSM3209227,12.237679,rosette,wild type,SD_5dLD*
GSM3228382,12.253212,rosette leaf,UBQ10,--
GSM3228385,19.404697,rosette leaf,UBQ10,--
GSM3228269,14.779074,rosette leaf,UBQ10,--
GSM3242204,14.640849,root tip,hsl2,--
GSM3242200,13.887862,root tip,wild type,--
SRX4337156,17.033325,seedling,agl16-1,--
SRX4337160,12.122711,seedling,wild type,--
GSM3258331,12.690071,rosette leaf,jazQ,--
GSM3258328,12.145598,rosette leaf,wild type,--
GSM3262073,15.706395,aerial seedling,ein3 eil1,--
GSM3262069,17.8415,aerial seedling,hls1,--
GSM3262075,12.212769,aerial seedling,pifq,--
GSM3262071,14.319254,aerial seedling,pifq ein3 eil1,--
GSM3262067,18.41789,aerial seedling,wild type,--
SRX4383148,16.140085,seedings,Wild type,--
SRX4383145,15.104239,seedings,dre2 mutant,--
GSM3271475,18.957308,seedlings,cop1-4,1h red light
GSM3271490,19.46501,seedlings,phyB C-terminal deletion,1h red light
GSM3271484,25.424328,seedlings,phyB C-terminal deletion,dark control
GSM3271487,18.440723,seedlings,phyB full length,1h red light
GSM3271481,20.500889,seedlings,phyB full length,dark control
GSM3271478,23.560465,seedlings,spaQ,1h red light
GSM3271472,19.130238,seedlings,wild type,1h red light
SRX4393096,17.011253,seedlings,--,Melatonin
SRX4393094,17.230677,seedlings,--,Melatonin
SRX4393098,14.402389,seedlings,--,Mock
SRX4393103,15.070034,seedlings,--,Serotonin
SRX4393104,18.782274,seedlings,--,Serotonin
SRX4403054,15.495651,seedlings,--,--
SRX4403057,16.38985,seedlings,--,--
SRX4403055,17.088068,seedlings,--,--
GSM3290661,13.959857,leaves,wild type,Highlight
GSM3290662,11.476191,leaves,wild type,Highlight
GSM3290657,10.375555,leaves,wild type,Highlight
GSM3290658,11.578693,leaves,wild type,Highlight
GSM3290659,9.172462,leaves,wild type,Mock
GSM3290660,8.564844,leaves,wild type,Mock
GSM3290655,8.582399,leaves,wild type,Mock
GSM3290656,8.032231,leaves,wild type,Mock
GSM3290644,16.017733,seedlings,wild type,H2O2 2min
GSM3290645,15.14288,seedlings,wild type,H2O2 4min
GSM3290646,18.897606,seedlings,wild type,H2O2 8min
GSM3290643,16.859379,seedlings,wild type,Mock
GSM3290619,6.2802105,leaves,rbohd mutant,--
GSM3290620,6.9666777,leaves,rbohd mutant,--
GSM3290621,9.488459,leaves,rbohd mutant,--
GSM3290622,10.332596,leaves,rbohd mutant,--
GSM3290623,7.4945016,leaves,rbohd mutant,--
GSM3290624,7.5627947,leaves,rbohd mutant,--
GSM3290625,8.235636,leaves,rbohd mutant,--
GSM3290626,9.198685,leaves,rbohd mutant,--
GSM3290597,8.837846,leaves,wild type,Highlight
GSM3290598,7.0285234,leaves,wild type,Highlight
GSM3290599,8.411496,leaves,wild type,Highlight
GSM3290600,8.514753,leaves,wild type,Highlight
GSM3290601,9.425562,leaves,wild type,Highlight
GSM3290602,9.40778,leaves,wild type,Highlight
GSM3290595,8.017155,leaves,wild type,Mock
GSM3290596,8.266921,leaves,wild type,Mock
SRX4590754,21.767136,anther,--,--
SRX4590756,17.886726,anther,bam3,--
SRX4466232,20.102043,root,frd3-7,1 microM Zn
SRX4466230,16.344862,root,frd3-7,20 microM Zn
SRX4466238,16.532518,root,wild type,1 microM Zn
SRX4466236,14.564126,root,wild type,20 microM Zn
GSM3662017,39.06096,root,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3662026,57.144127,root,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311613,74.85217,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311614,94.66035,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311589,59.595108,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311599,59.66629,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311571,82.30581,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311583,67.0865,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311598,65.29308,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311628,70.351654,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311590,63.469856,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311616,81.974655,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311591,53.148613,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311629,77.74406,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311615,90.23335,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3311617,99.38986,root protoplasts,--,"Nitrogen, Cycloheximide, Dexamethasone"
GSM3316336,17.349358,Seedlings,Wild Type,--
GSM3316340,15.440008,Seedlings,hta9hta11 doble mutant,--
GSM3316343,17.800648,Seedlings,hta9hta11_FLAG-HTA9_N,--
GSM3316346,23.623775,Seedlings,hta9hta11_FLAG-HTA9_RR,--
SRX4508502,33.796654,leaves,RNAi of AtVOC,long-term drought
SRX4508526,24.389305,leaves,RNAi of AtVOC,short-term drought
SRX4508504,37.14367,leaves,Wild type,long-term drought
SRX4508528,24.006832,leaves,Wild type,short-term drought
SRX4508520,32.942646,leaves,mutant of AtLEA,long-term drought
SRX4508524,34.47311,leaves,mutant of AtLEA,short-term drought
SRX4508514,19.11899,leaves,over expression of AtLEA,long-term drought
SRX4508506,10.827762,leaves,over expression of AtLEA,short-term drought
SRX4508510,20.253096,leaves,over expression of AtVOC,short-term drought
SRX4508512,23.421192,leaves,over expression of BnLEA,long-term drought
SRX4508508,18.300177,leaves,over expression of BnLEA,short-term drought
SRX4508516,27.413414,leaves,over expression of BnVOC,long-term drought
SRX4508522,12.044424,leaves,over expression of BnVOC,short-term drought
SRX4500617,32.766697,silique,RNAi of AtVOC,short-term drought
SRX4500605,25.015419,silique,Wild type,long-term drought
SRX4500615,36.553917,silique,Wild type,short-term drought
SRX4500611,39.389458,silique,mutant of AtLEA,short-term drought
SRX4500603,27.65079,silique,over expression of AtLEA,short-term drought
SRX4500619,21.052143,silique,over expression of AtVOC,long-term drought
SRX4500609,34.458683,silique,over expression of AtVOC,short-term drought
SRX4500601,29.131351,silique,over expression of BnLEA,short-term drought
SRX4500613,30.651993,silique,over expression of BnVOC,short-term drought
GSM3317934,11.504988,leaves,adcp1-1 mutant,--
GSM3317932,12.637075,leaves,wild type,--
SRX4504629,14.930131,seedings,--,--
SRX4504626,13.216388,seedings,--,--
SRX4504625,13.436552,seedings,--,--
SRX4504627,14.118635,seedings,--,--
SRX4514501,15.966886,seedlings,NAC32_OX*,He deHiciency
SRX4514500,16.785587,seedlings,nac32*,He deHiciency
SRX4514499,14.654582,seedlings,wild type,He deHiciency
SRX4514505,17.377913,seedlings,wild type,control
GSM3325568,19.642387,seedlings,Wild type,LHS (long heat stress)*
GSM3325570,22.545021,seedlings,Wild type,LHSR12 (long heat stress recovery 12 hours)*
GSM3325572,14.128067,seedlings,Wild type,LHSR84 (long heat stress recovery 84 hours)*
GSM3325566,14.620845,seedlings,Wild type,control
GSM3325830,25.014866,endosperm,Col-0,--
GSM3325836,25.656256,endosperm,hdg3-1 Col-0 mutant,--
GSM3330039,15.999854,leaf,SAP11 overexpressed,exposed to M. quadrilineatus
GSM3330043,16.289965,leaf,SAP11 overexpressed,exposed to M. quadrilineatus
GSM3330047,19.061506,leaf,wild type,exposed to M. quadrilineatus
SRX4547827,18.116302,seedlings,abcf1*,--
SRX4547830,17.495018,seedlings,abcf4*,--
SRX4547824,15.235314,seedlings,wild type,--
SRX4550681,16.706173,seedlings,ABCF3-OE*,--
SRX5240064,16.353973,seedlings,abcf3-a,--
SRX4550680,16.504625,seedlings,wild type,--
SRX4553473,23.149502,shoot,wild type,3AT
SRX4553469,27.038286,shoot,wild type,AA
SRX4553467,28.450523,shoot,wild type,ABA
SRX4553461,22.525223,shoot,wild type,MV
SRX4553459,24.672733,shoot,wild type,SA
SRX4553477,11.818021,shoot,wild type,UVcont
SRX4553465,12.500008,shoot,wild type,cont
GSM3335932,17.714624,seedlings,wild type,Hlg22
GSM3348235,28.84317,seedlings,phyAB mutant,1h red light
GSM3348233,21.904139,seedlings,phyB mutant,1h red light
GSM3348229,27.342434,seedlings,wild type,1h red light
GSM3348231,22.027489,seedlings,wild type,darkness
SRX4619878,1.1047094,Leaf,gl1-2*,--
SRX4619634,0.0,Leaf,gl1-2*,--
SRX4619604,0.83698773,Leaf,gl1-2*,--
SRX4619904,0.0,Leaf,gl1-2*,--
SRX4619663,2.502612,Leaf,wild type,--
SRX4619685,0.57646006,Leaf,wild type,--
SRX4619603,0.0,Leaf,wild type,--
SRX4619679,0.0,Leaf,wild type,--
SRX4619815,0.440175,Leaf,wild type,--
GSM3370069,15.089368,whole plant,--,Heat
GSM3370073,20.684313,whole plant,--,Heat
GSM3371569,16.939032,seed,mpk8 mutant,Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C
GSM3371572,25.283525,seed,mpk8 mutant,no treatment
GSM3371575,24.463919,seed,tcp14 mutant,Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C
GSM3371578,28.643238,seed,tcp14 mutant,no treatment
GSM3371563,20.447346,seed,wild type,Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C
GSM3371566,27.85312,seed,wild type,no treatment
SRX5006594,15.915561,seed,wild type,--
SRX4641270,20.98751,collet,--,Anchorene
SRX4641272,24.848278,collet,--,Mock
SRX4641268,26.331585,collet,--,NPA
SRX4702161,13.022911,shoot,wild type,--
SRX4702156,20.107119,shoot,wild type,--
SRX4702157,28.584185,shoot,wild type,--
GSM3389890,22.881351,seedlings,wild type,AGN 1h
GSM3389896,17.243748,seedlings,wild type,AGN 24h
GSM3389893,18.13158,seedlings,wild type,AGN 6h
GSM3389881,18.559473,seedlings,wild type,Mock
GSM3389887,13.2017765,seedlings,wild type,Mock
GSM3389884,18.49055,seedlings,wild type,Mock
GSM3391611,17.236637,whole plant,lst8 mutant,--
GSM3391614,17.112679,whole plant,maktor mutant,--
GSM3391617,13.667139,whole plant,maktor mutant,--
GSM3391608,14.965994,whole plant,wild type,--
GSM3391623,14.192709,whole plant,yak1 lst8 mutant,--
GSM3391620,15.014743,whole plant,yak1 mutant,--
SRX4734053,13.699227,seeding,ilp1-1*,--
SRX4734051,19.17146,seeding,ntr1-1*,--
SRX4734055,15.288424,seeding,wild type,--
SRX4733741,27.16965,root,--,VOC
SRX4733731,9.4308,shoot,--,Mock
SRX4733729,11.579101,shoot,--,VOC
GSM3400581,15.540653,leaves,wild type,wounding 4h
GSM3402479,2.2977052,pollen,pVC::H1.1-mRFP,--
GSM3402476,1.8704834,pollen,wild type,--
SRX4778924,14.226372,Leaves,--,--
SRX4778918,15.727703,Leaves,--,Pst DC3000 0hpi*
SRX4778922,12.864764,Leaves,--,Pst DC3000 30hpi*
SRX4778920,11.952198,Leaves,--,Pst DC3000 6hpi*
SRX4778934,14.0280905,Leaves,--,Pst DC3000*
SRX4778928,15.139898,Leaves,--,cold 10h and Pst DC3000 0hpi*
SRX4778932,13.140326,Leaves,--,cold 10h and Pst DC3000 30hpi*
SRX4778930,10.620319,Leaves,--,cold 10h and Pst DC3000 6hpi*
SRX4778926,24.539202,Leaves,--,cold 10h*
GSM3408065,13.14569,10-days Seedlings,mutant 17ab,--
GSM3408062,9.902094,10-days Seedlings,wild type,--
GSM3408856,17.686584,inflorescence,Wild type,--
GSM3408859,16.276388,leaves,Wild type,--
GSM3408813,24.34707,seedlings,Wild type,ABA 2h
GSM3408818,33.4086,seedlings,Wild type,ABA 4h
GSM3408823,37.656357,seedlings,Wild type,ABA 6h
GSM3408828,31.91821,seedlings,Wild type,ABA 8h
GSM3408808,12.313928,seedlings,Wild type,Mock
GSM3408800,17.011639,seedlings,Wild type,Mock
GSM3408831,14.493389,seedlings,Wild type,Mock
GSM3408803,22.95946,seedlings,Wild type,cold 20d
GSM3408834,29.428568,seedlings,Wild type,drought 2h
GSM3408837,27.669327,seedlings,Wild type,drought 4h
GSM3408840,33.607212,seedlings,Wild type,drought 6h
GSM3408843,30.26628,seedlings,Wild type,drought 8h
GSM3414843,17.605188,2weeks seedlings,eds4 -/-,--
GSM3414848,14.901212,2weeks seedlings,eds4 -/-,--
GSM3414839,17.349358,2weeks seedlings,wild type,--
GSM3414846,13.58475,2weeks seedlings,wild type,--
GSM3416966,14.816637,shoots,--,aerated
GSM3430694,8.829924,shoots,--,aerated
GSM3430686,7.282772,shoots,--,micropore filter
GSM3416967,15.37497,shoots,--,non-aerated
GSM3430690,10.753361,shoots,--,non-aerated
SRX4803526,16.730804,seedlings,Col-0,ATP
SRX4803529,14.955457,seedlings,Col-0,Mock
SRX4803500,21.50176,seedlings,OxP2K1,500 uM ATP
SRX4803499,18.896149,seedlings,OxP2K1,mock
SRX4803509,16.87399,seedlings,coi1-30,500 uM ATP
SRX4803546,11.901908,seedlings,coi1-30,mock
SRX4803503,13.987178,seedlings,dorn1-3,500 uM ATP
SRX4803506,17.620356,seedlings,dorn1-3,mock
SRX4803552,17.537859,seedlings,ein2-1,500 uM ATP
SRX4803513,15.040078,seedlings,ein2-1,mock
SRX4803521,15.581579,seedlings,npr1-3,500 uM ATP
SRX4803519,13.697899,seedlings,npr1-3,mock
GSM3423810,6.114176,embryo,--,--
GSM3423813,10.952478,embryo,--,--
GSM3426997,13.426388,leaves,Wild type,excess-light
GSM3427003,16.40323,leaves,Wild type,excess-light*
GSM3433651,14.049585,seedlings,hda9-1 mutant,Mock
GSM3433633,15.144304,seedlings,hda9-1 mutant,Mock
GSM3433660,14.284508,seedlings,hda9-1 mutant,heat27
GSM3433642,16.647852,seedlings,hda9-1 mutant,heat27
GSM3433648,10.831324,seedlings,pif4-2 mutant,Mock
GSM3433630,14.707008,seedlings,pif4-2 mutant,Mock
GSM3433657,14.27743,seedlings,pif4-2 mutant,heat27
GSM3433639,17.842272,seedlings,pif4-2 mutant,heat27
GSM3433627,14.611049,seedlings,wild type,Mock
GSM3433654,16.543201,seedlings,wild type,heat27
GSM3433636,13.44725,seedlings,wild type,heat27
SRX5413164,9.917982,leaf,crwn1,--
SRX5413162,8.106658,leaf,wild type,--
GSM3443225,15.421534,7-day-old whole seedling,hda9 SALK_007123,--
GSM3443223,17.031282,7-day-old whole seedling,"hda9 SALK_007123, hos15-2 SALK_064435",--
GSM3443227,16.017937,7-day-old whole seedling,hos15-2 SALK_064435,--
GSM3443229,15.740713,7-day-old whole seedling,pwr SALK_071811C,--
GSM3443221,17.504995,7-day-old whole seedling,wild type,--
GSM3443231,14.337424,leaves,--,Isoprene emitting
GSM3443234,11.291018,leaves,--,Non-emitting
SRX4941731,20.431816,Etiolated Cotyledon,ccr2*,--
SRX4941715,23.057335,Etiolated Cotyledon,wild type,--
SRX4941723,8.363535,Leaf,ccr2*,--
SRX4941719,10.51928,Leaf,wild type,--
GSM3475784,18.501282,Whole seedlings,wild type,2h 25uM dexamethasone
GSM3475790,27.954966,Whole seedlings,wild type,"2h 25uM dexamethasone,1uM trichostatin"
SRX5024976,17.100271,seedlings,--,3d Zn2+ and recovery 3d*
SRX5024975,25.275518,seedlings,--,3d Zn2+*
SRX5024966,11.280256,seedlings,--,3d nanoparticles and recovery 3d*
SRX5024968,18.328852,seedlings,--,3d nanoparticles*
SRX5024970,14.229621,seedlings,--,control
SRX5026096,14.08173,seedlings,MYB70-OX*,--
SRX5026098,13.520299,seedlings,myb70*,--
SRX5026097,13.866878,seedlings,wild type,--
GSM3484754,30.039595,root,expressing INTACT,--
GSM3490689,57.82864,root,wild type,--
SRX5070539,14.990985,Rosette leaf,--,PHOA 100 um
SRX5070538,16.535767,Rosette leaf,--,PHOS 100 um
SRX5070543,12.191855,Rosette leaf,--,control line
GSM3498720,14.379517,seedlings,arp6-1,--
GSM3498724,18.321262,seedlings,"arp6-1,mbd9-3",--
GSM3498716,15.289095,seedlings,mbd9-3,--
GSM3498712,16.67923,seedlings,wild type,--
GSM3499773,23.298409,Seed,dgat1-1,--
GSM3499767,43.12065,Seed,wild type,--
GSM3504391,16.920607,seedlings,wild type,Mock
GSM3504394,20.804193,seedlings,wild type,vernalized 4 week
SRX5130544,28.737492,leaf,oxs2,--
SRX5130546,23.233624,leaf,wild type,--
SRX6794798,13.089735,rosettes,--,Control
GSM3511858,36.044357,Root,Wild type,Protoplasted
GSM3511863,20.031143,Root,Wild type,Protoplasted
GSM3511861,55.24389,Root,Wild type,Unprotoplasted
GSM3516770,16.322561,14 day-old seedlings,nerd-1,--
GSM3516772,15.20908,14 day-old seedlings,nerd-1+T,--
GSM3516768,17.089064,14 day-old seedlings,wild type,--
SRX5167930,18.785156,seedlings,--,--
SRX5167932,20.823915,seedlings,--,--
GSM3526278,16.181545,seedling,bli-1-/-,--
GSM3526281,17.604403,seedling,bli-1-/-ire1a-/-,--
GSM3526284,13.000471,seedling,bli-1-/-ire1b-/-,--
GSM3526275,15.512505,seedling,wild type,--
GSM3529057,15.367492,seedling,pSDG2:myc-SDG2,--
GSM3529055,20.947136,seedling,wild type,--
SRX5187275,5.7584705,apical part,myc234,1 (h) aHter high R/HR*
SRX5187298,5.386511,apical part,myc234,1 (h) aHter low R/HR*
SRX5187294,7.114308,apical part,myc234,49 (h) aHter high R/HR*
SRX5187292,6.2280536,apical part,myc234,49 (h) aHter low R/HR*
SRX5187318,6.0710874,apical part,wild type,1 (h) aHter high R/HR*
SRX5187322,5.1979237,apical part,wild type,1 (h) aHter low R/HR*
SRX5187274,6.1054006,apical part,wild type,49 (h) aHter high R/HR*
SRX5187271,7.5447297,apical part,wild type,49 (h) aHter low R/HR*
SRX5225109,14.838645,whole plant,glk,0h ABA
SRX5225114,29.711182,whole plant,glk,1h ABA
SRX5225112,30.718842,whole plant,glk,3h ABA
SRX5225120,15.788821,whole plant,pyl,0h ABA
SRX5225118,18.640661,whole plant,pyl,3h ABA
SRX5225128,17.441164,whole plant,wild type,0h ABA
SRX5225125,33.04821,whole plant,wild type,1h ABA
SRX5225122,27.427414,whole plant,wild type,3h ABA
SRX5237480,18.98177,shoot,--,0h_21Â°C_mock
SRX5237474,20.224669,shoot,--,1h_21Â°C_100 Î¼M gibberellin
SRX5237476,17.200668,shoot,--,1h_21Â°C_mock
SRX5237457,22.914997,shoot,--,1h_4Â°C_100 Î¼M gibberellin
SRX5237461,15.010841,shoot,--,1h_4Â°C_mock
SRX5237453,27.336475,shoot,--,2h_21Â°C_100 Î¼M gibberellin
SRX5237455,16.392973,shoot,--,2h_21Â°C_mock
SRX5237471,16.985064,shoot,--,2h_4Â°C_100 Î¼M gibberellin
SRX5237466,18.144043,shoot,--,2h_4Â°C_mock
SRX5237451,19.48251,shoot,--,4h_21Â°C_100 Î¼M gibberellin
SRX5237463,15.772702,shoot,--,4h_21Â°C_mock
SRX5237446,29.361145,shoot,--,4h_4Â°C_100 Î¼M gibberellin
SRX5237445,15.186627,shoot,--,4h_4Â°C_mock
GSM3559379,19.717272,flower buds,BnA9,--
GSM3559382,17.551485,flower buds,wild type,--
SRX5244066,14.869867,Rosette leaf,cat2,--
SRX5244064,8.658022,Rosette leaf,cat2 gsnor1-3,--
SRX5244068,11.152996,Rosette leaf,gsnor1-3,--
SRX5244067,7.5453777,Rosette leaf,wild type,--
SRX5250637,8.860389,leaf,wild type,--
GSM3566867,12.541992,leaves,22aa_SunTag_NtDRMcd_g4_10_g18_minus,--
GSM3566829,9.023935,leaves,22aa_SunTag_VP64_g4_g17,--
GSM3566832,7.835542,leaves,22aa_SunTag_VP64_g4_g17,--
GSM3566836,10.514187,leaves,22aa_SunTag_VP64_g4_g17,--
GSM3566822,8.303894,leaves,22aa_SunTag_VP64_nog,--
GSM3566852,7.318519,leaves,SunTag_VP64_EVD,--
GSM3566846,8.162238,leaves,SunTag_VP64_EVD,--
GSM3566849,6.4606256,leaves,SunTag_VP64_EVD,--
GSM3566815,8.268682,leaves,SunTag_VP64_g4,--
