Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
ERP023519/ERX2067731,2.3594735,H3K27me3,histone methylation,Shoot,,24.0,23.0
ERP104693/ERX2223705,1.3433392,BPC6,Transcription factor,Whole plant,,14.0,22.0
ERP106739/ERX2338308,1.1692679,FD,Transcription factor,Shoot,SAM,16.0,23.0
ERP106739/ERX2338310,1.7634988,FD,Transcription factor,Shoot,WT,16.0,23.0
ERP106739/ERX2338312,1.4450381,FD,Transcription factor,Shoot,"ft-10, tsf1",16.0,23.0
ERP106905/ERX2356968,1.5394496,PPD2,DNA-binding protein,Shoot,ppd2,21.0,21.0
ERP002640/ERX248824,2.0674684,H3K4me2,histone methylation,Root,,,22.0
ERP002640/ERX248825,0.95227563,H3K27me3,histone methylation,Root,,,22.0
ERP002640/ERX248826,0.48307878,H3K9me2,histone methylation,Root,,,22.0
ERP002640/ERX248827,1.1693585,H3K27me3,histone methylation,Root,,,22.0
ERP002640/ERX248828,0.46462932,H3K9me2,histone methylation,Root,,,22.0
ERP002640/ERX248829,1.2058588,H3K27me3,histone methylation,Root,,,22.0
ERP002640/ERX248830,1.8622837,H3K4me2,histone methylation,Root,,,22.0
ERP002640/ERX248831,10.766469,H3K4me3,histone methylation,Root,,,22.0
ERP002640/ERX248832,1.3623004,H3K4me2,histone methylation,Shoot,,,22.0
ERP002640/ERX248833,1.315654,H3K4me2,histone methylation,Shoot,,,22.0
ERP002640/ERX248834,9.7024975,H3K4me3,histone methylation,Shoot,,,22.0
ERP002640/ERX248835,9.068006,H3K4me3,histone methylation,Shoot,,,22.0
ERP002640/ERX248836,8.14388,H3K4me3,histone methylation,Root,,,22.0
ERP002640/ERX248837,0.70184696,H3K27me3,histone methylation,Root,,,22.0
ERP111223/ERX2826885,1.2269698,TFL1,Transcription factor,Shoot,gtfl1,15.0,22.0
ERP016859/ERX2858751,1.5314596,SE,Transcription factor,Whole plant,WT,16.0,22.0
ERP115669/ERX3444754,0.5411037,open chromatin,open chromatin,Rosette,WT,4.0,
ERP115669/ERX3444755,0.53307414,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444756,0.5303886,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444763,0.5055203,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444764,0.51957357,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444765,0.5065442,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444797,0.2214713,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444798,0.30761302,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444803,0.27011785,open chromatin,open chromatin,Rosette,WT,,
ERP115669/ERX3444804,0.22274621,open chromatin,open chromatin,Rosette,WT,,
ERP116942/ERX3510576,4.614637,H3K27ac,histone acetylation,Root,,7.0,22.0
ERP116942/ERX3510577,0.6848616,H3K27me3,histone methylation,Root,,7.0,22.0
