Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
SRP086609/SRX2140200,1.0968064,H3,histone,Whole plant,WT,10.0,
SRP086609/SRX2140202,0.17978933,H3K27me3,histone methylation,Whole plant,rtel13,10.0,
SRP086609/SRX2140203,9.913892,H3K4me3,histone methylation,Whole plant,rtel13,10.0,
SRP086609/SRX2140204,0.04910787,H3K9me2,histone methylation,Whole plant,rtel13,10.0,
SRP086609/SRX2140205,0.7128662,H3,histone,Whole plant,rtel13,10.0,
SRP017773/SRX214142,1.2956923,PIF1,Transcription factor,Whole plant,pif1,2.0,
SRP017774/SRX214148,1.0095122,PIF4,Transcription factor,Whole plant,pif4,3.0,
SRP087373/SRX2143555,8.61468,H3,histone,Leaf,WT,10.0,20.0
SRP087373/SRX2143557,11.022534,H3,histone,Leaf,kyp,10.0,20.0
SRP087373/SRX2143559,2.9472036,H3K23me1,histone methylation,Leaf,WT,10.0,20.0
SRP087373/SRX2143561,3.7237787,H3K23me1,histone methylation,Leaf,kyp,10.0,20.0
SRP017793/SRX215433,1.2444892,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017793/SRX215436,1.0881566,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017793/SRX215438,1.3645546,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017793/SRX215470,1.1016278,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017793/SRX215474,1.2426087,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017793/SRX215475,1.4014424,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP017902/SRX216234,0.9349329,EIN3,Transcription factor,Whole plant,,3.0,24.0
SRP073021/SRX2240741,7.424958,H3K27ac,histone acetylation,Leaf,WT,,22.0
SRP073021/SRX2240742,6.3573303,H3K27ac,histone acetylation,Leaf,pwr,,22.0
SRP073021/SRX2240743,5.709066,H3K27ac,histone acetylation,Leaf,hda9,,22.0
SRP091497/SRX2242698,0.84053385,H3.3,histone,Whole plant,WT,17.0,23.0
SRP091497/SRX2242700,0.7868316,H3.3,histone,Whole plant,atrx,17.0,23.0
SRP091720/SRX2250913,0.2963514,CenH3,histone related,Whole plant,cenh3,,
SRP091720/SRX2250916,0.33513,CenH3,histone related,Whole plant,cenh3,,
SRP091720/SRX2250919,0.4151625,CenH3,histone related,Whole plant,cenh3,,
SRP092318/SRX2310525,0.71965766,HDP2,DNA-binding protein,Whole plant,hdp2,14.0,
SRP092341/SRX2311139,0.70175433,BAF60,DNA-binding protein,Whole plant,baf60,14.0,
SRP092341/SRX2311141,6.4185815,H3K9ac,histone acetylation,Whole plant,WT,14.0,
SRP092341/SRX2311142,0.80812246,H3K9me2,histone methylation,Whole plant,WT,14.0,
SRP092341/SRX2311143,0.38219285,H3K27me3,histone methylation,Whole plant,WT,14.0,
SRP092341/SRX2311144,1.0068202,open chromatin,open chromatin,Whole plant,,14.0,20.0
SRP092341/SRX2311146,0.14699213,open chromatin,open chromatin,Whole plant,,14.0,20.0
SRP092349/SRX2311527,1.5208602,H2AK121ub,histone ubiquitination,Whole plant,atbmi1abc,7.0,21.0
SRP092349/SRX2311528,2.5200918,H2AK121ub,histone ubiquitination,Whole plant,WT,7.0,21.0
SRP092349/SRX2311531,0.60183287,H3K27me3,histone methylation,Whole plant,atbmi1abc,7.0,21.0
SRP092349/SRX2311532,0.46832585,H3K27me3,histone methylation,Whole plant,WT,7.0,21.0
SRP092349/SRX2311535,2.5601654,H2AK121ub,histone ubiquitination,Whole plant,clfswn,7.0,21.0
SRP092349/SRX2311539,2.3873742,H2AK121ub,histone ubiquitination,Whole plant,lhp1,7.0,21.0
SRP093244/SRX2342087,3.334342,H3K14ac,histone acetylation,Whole plant,WT,10.0,23.0
SRP093244/SRX2342089,4.6178255,H3K14ac,histone acetylation,Whole plant,hdac,10.0,23.0
SRP093244/SRX2342091,4.421188,H3K14ac,histone acetylation,Whole plant,pwr2,10.0,23.0
SRP093244/SRX2342093,2.2179654,H3K9ac,histone acetylation,Whole plant,WT,10.0,23.0
SRP093244/SRX2342095,1.9075639,H3K9ac,histone acetylation,Whole plant,hdac,10.0,23.0
SRP093244/SRX2342097,1.5435634,H3K9ac,histone acetylation,Whole plant,pwr2,10.0,23.0
SRP093390/SRX2351042,0.69423217,FLC,Transcription factor,Aerial tissue,WT,14.0,21.0
SRP095183/SRX2426146,2.2166314,H3K36me3,histone methylation,Leaf,WT,21.0,23.0
SRP095183/SRX2426147,2.7962594,H3K36me3,histone methylation,Leaf,k36m,21.0,23.0
SRP095183/SRX2426148,3.0210736,H3K36me3,histone methylation,Leaf,k36m,21.0,23.0
SRP095183/SRX2426149,6.264434,H3K36me3,histone methylation,Leaf,sdg8,21.0,23.0
SRP095183/SRX2426150,3.3611474,H3K36me3,histone methylation,Leaf,WT,21.0,23.0
SRP095372/SRX2436386,0.62230736,PHR1,Transcription factor,Whole plant,WT,12.0,
SRP095372/SRX2436387,0.79694486,PHR1,Transcription factor,Whole plant,WT,12.0,
SRP095372/SRX2436396,0.8554611,PHR1,Transcription factor,Whole plant,phr1,12.0,
SRP095372/SRX2436398,0.74006563,PHR1,Transcription factor,Whole plant,phr1,12.0,
SRP086137/SRX2444096,0.49987805,H3K27me3,histone methylation,Root,GFP,5.0,24.0
SRP086137/SRX2444097,3.20081,H3K4me3,histone methylation,Root,GFP,5.0,24.0
SRP079108/SRX2447806,0.29478815,NUP1,DNA-binding protein,Leaf,NUP-1,30.0,23.0
SRP095993/SRX2459873,0.28061494,H3K27me3,histone methylation,Leaf,,21.0,21.0
SRP095993/SRX2459884,0.38642198,H3K27me3,histone methylation,Leaf,,21.0,21.0
SRP096152/SRX2467594,1.3839681,H3.1,histone,Leaf,H3.1,21.0,21.0
SRP096152/SRX2467595,1.5150183,H3.3,histone,Leaf,H3.3,21.0,21.0
SRP096152/SRX2467596,1.3472841,H3.1,histone,Leaf,H3.1,21.0,21.0
SRP096152/SRX2467598,0.8863187,H3.3,histone,Leaf,H3.3,21.0,21.0
SRP096152/SRX2467599,0.5954964,H3.1,histone,Leaf,H3.1,21.0,21.0
SRP096152/SRX2467600,0.7370657,H3.3,histone,Leaf,H3.3,21.0,21.0
SRP019502/SRX250135,0.8277861,SPL7,Transcription factor,Whole plant,spl7,,22.0
SRP097224/SRX2506333,3.3742938,H3K9ac,histone acetylation,Whole plant,ein2-5,3.0,22.0
SRP097224/SRX2506335,3.5111434,H3K9ac,histone acetylation,Whole plant,ein2-5,3.0,22.0
SRP098090/SRX2523224,0.62992966,bZIP28,Transcription factor,Whole plant,bZIP28,13.0,22.0
SRP098594/SRX2528905,1.023432,open chromatin,open chromatin,Whole plant,WT,7.0,22.0
SRP098594/SRX2528908,0.87605363,open chromatin,open chromatin,Whole plant,WT,7.0,22.0
SRP098594/SRX2528910,0.8757634,open chromatin,open chromatin,Whole plant,WT,7.0,22.0
SRP098621/SRX2529386,0.8194644,HEC1,Transcription factor,Aerial tissue,WT,12.0,23.0
SRP098621/SRX2529388,0.9778357,HEC1,Transcription factor,Aerial tissue,HEC1,12.0,23.0
SRP019835/SRX252954,0.9770777,NRPD1,RNA polymerase subunit,Flower,nrpd1-4,10.0,
SRP019835/SRX252957,0.8134111,NRPD1,RNA polymerase subunit,Flower,nrpd1-4,10.0,
SRP060240/SRX2532030,0.8253406,MBD6,DNA-binding protein,Inflorescence,WT,,20.0
SRP060240/SRX2532032,0.8253495,SUVH9,DNA-binding protein,Inflorescence,cmt2,,20.0
SRP072236/SRX2533652,4.2473197,H3K27ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533653,3.5810537,H3K27ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533654,4.9546733,H3K9ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533655,3.5923116,H3K14ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533656,4.106628,H3K18ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533657,5.553877,H4K5ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533658,5.8983006,H4K8ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533659,5.305625,H4K12ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533660,4.3124638,H4K16ac,histone acetylation,Whole plant,elo3,12.0,
SRP072236/SRX2533661,4.822097,H3K9ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533662,3.412225,H3K14ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533663,4.211966,H3K18ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533664,5.5610657,H4K5ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533665,6.0255213,H4K8ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533666,5.059943,H4K12ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP072236/SRX2533667,4.2286534,H4K16ac,histone acetylation,Whole plant,acc1-4,12.0,
SRP099840/SRX2564280,1.351908,RGA,Transcription factor,Inflorescence,WT,,16.0
SRP092349/SRX2581974,2.4172819,H3K27me3,histone methylation,Whole plant,clfswn,7.0,21.0
SRP100927/SRX2600791,0.8732177,FIE,Transcription factor,,WT,1.2,22.0
SRP100927/SRX2600794,0.8547164,FIE,Transcription factor,,BPCZnF,1.2,22.0
SRP101403/SRX2613443,1.7342489,AGO1,DNA-binding protein,Whole plant,AGO1-36,10.0,22.0
SRP101403/SRX2613455,1.6052378,AGO1,DNA-binding protein,Whole plant,WT,10.0,22.0
SRP101403/SRX2613491,2.176125,PolII,RNA polymerase,Whole plant,AGO1-36,10.0,22.0
SRP101403/SRX2613495,1.3673275,PolII,RNA polymerase,Whole plant,AGO1-36,10.0,22.0
SRP101403/SRX2613497,1.3379538,PolII,RNA polymerase,Whole plant,WT,10.0,22.0
SRP101403/SRX2613499,1.733257,PolII,RNA polymerase,Whole plant,AGO1-36,10.0,22.0
SRP101403/SRX2613501,1.6529276,PolII,RNA polymerase,Whole plant,WT,10.0,22.0
SRP101403/SRX2613503,2.1819835,PolII,RNA polymerase,Whole plant,WT,10.0,22.0
SRP101570/SRX2620186,5.116721,H4ac,histone acetylation,Whole plant,WT,14.0,22.0
SRP101570/SRX2620188,4.559917,H4ac,histone acetylation,Whole plant,,14.0,22.0
SRP101570/SRX2620189,6.6876287,H4ac,histone acetylation,Whole plant,,14.0,22.0
SRP101570/SRX2620190,4.880062,H4ac,histone acetylation,Whole plant,WT,14.0,22.0
SRP101570/SRX2620191,5.4997897,H4ac,histone acetylation,Whole plant,WT,14.0,22.0
SRP020612/SRX262128,1.0524164,SOC1,Transcription factor,Whole plant,soc1-2,14.0,
SRP020911/SRX263743,1.0478354,AG,Transcription factor,Inflorescence,,28.0,20.0
SRP102171/SRX2655920,1.0570593,LFY,Transcription factor,Inflorescence,LFYGR,28.0,20.0
SRP102243/SRX2659846,1.1055694,H3,histone,Whole plant,WT,10.0,
SRP102243/SRX2659848,2.3042688,H2AZ,histone related,Whole plant,WT,10.0,
SRP102243/SRX2659850,0.8304895,H1,histone,Whole plant,WT,10.0,
SRP102243/SRX2659852,2.8438265,H3K4me3,histone methylation,Whole plant,WT,10.0,
SRP102243/SRX2659854,2.8872263,H3K36me3,histone methylation,Whole plant,WT,10.0,
SRP102243/SRX2659856,1.4571289,H3,histone,Whole plant,H3.3,10.0,
SRP102243/SRX2659858,2.2443457,H2AZ,histone related,Whole plant,H3.3,10.0,
SRP102243/SRX2659860,0.8087298,H1,histone,Whole plant,H3.3,10.0,
SRP102243/SRX2659862,2.8966377,H3K4me3,histone methylation,Whole plant,H3.3,10.0,
SRP102243/SRX2659864,3.8551638,H3K36me3,histone methylation,Whole plant,H3.3,10.0,
SRP060240/SRX2683679,0.46365315,SUVH9,DNA-binding protein,Inflorescence,WT,,20.0
SRP060240/SRX2683681,1.0733778,SUVH9,DNA-binding protein,Inflorescence,d2c2,,20.0
SRP102817/SRX2693421,2.393637,ENAP1,Transcription factor,Whole plant,WT,3.0,24.0
SRP102817/SRX2693422,1.6638327,ENAP1,Transcription factor,Whole plant,ein-2,3.0,24.0
SRP102817/SRX2693424,2.497996,ENAP1,Transcription factor,Whole plant,WT,3.0,24.0
SRP102817/SRX2693425,2.763298,ENAP1,Transcription factor,Whole plant,ein-2,3.0,24.0
SRP103734/SRX2730662,0.48297495,GNC,Transcription factor,Leaf,myc-GNC,21.0,22.0
SRP103734/SRX2730666,0.6704621,CGA1,Transcription factor,Leaf,myc-CGA1,21.0,22.0
SRP105160/SRX2762736,0.6746529,ELF3,DNA-binding protein,Whole plant,Lux-4,11.0,27.0
SRP105160/SRX2762738,0.6846614,ELF3,DNA-binding protein,Whole plant,Lux-4,11.0,22.0
SRP105160/SRX2762739,0.71095,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762740,0.795886,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762741,0.47824103,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762742,0.5221505,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762743,0.5135802,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762744,0.51815665,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762745,0.49415052,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762746,0.41002315,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762747,0.4802001,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762748,0.510081,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762749,0.47432464,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762750,0.4597727,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762751,0.6239198,LUX,Transcription factor,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762754,0.5300668,LUX,Transcription factor,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762755,1.0098083,LUX,Transcription factor,Whole plant,elf3-1,11.0,17.0
SRP105160/SRX2762756,1.0151294,LUX,Transcription factor,Whole plant,elf3-1,11.0,17.0
SRP105160/SRX2762757,0.9950377,LUX,Transcription factor,Whole plant,elf3-1,11.0,17.0
SRP105160/SRX2762758,1.0285263,LUX,Transcription factor,Whole plant,elf3-1,11.0,17.0
SRP105160/SRX2762759,0.9551147,LUX,Transcription factor,Whole plant,elf3-1,11.0,17.0
SRP105160/SRX2762760,0.71164113,ELF4,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762761,1.0669588,ELF3,DNA-binding protein,Whole plant,elf3-1,11.0,22.0
SRP105160/SRX2762762,0.74411,LUX,Transcription factor,Whole plant,elf3-1,11.0,22.0
SRP022587/SRX277579,0.6352088,open chromatin,open chromatin,Inflorescence,ap1 cal,,20.0
SRP022587/SRX277580,0.53332365,open chromatin,open chromatin,Inflorescence,ap1 cal,,20.0
SRP022587/SRX277581,0.46395582,open chromatin,open chromatin,Inflorescence,ap1 cal,,20.0
SRP022587/SRX277582,0.60213137,open chromatin,open chromatin,Inflorescence,ap1 cal,,20.0
SRP022770/SRX278438,0.65962446,SEP3,Transcription factor,Inflorescence,,4.0,20.0
SRP022770/SRX278439,0.73346484,SEP3,Transcription factor,Inflorescence,,8.0,20.0
SRP022770/SRX278440,0.78682685,AP1,Transcription factor,Inflorescence,,2.0,20.0
SRP022770/SRX278441,0.5423272,AP1,Transcription factor,Inflorescence,,2.0,20.0
SRP022770/SRX278442,0.669072,AP1,Transcription factor,Inflorescence,,8.0,20.0
SRP023011/SRX286160,0.37614402,H3K27me3,histone methylation,Whole plant,WT,14.0,
SRP023011/SRX286162,0.2894891,H3K27me3,histone methylation,Whole plant,brm,14.0,22.0
SRP108548/SRX2879246,1.1516863,LEC1,Transcription factor,Whole plant,br1,,20.0
SRP108636/SRX2884374,1.3630974,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884375,1.3938512,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884376,1.1668417,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884377,1.2641016,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884378,1.1649046,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884384,1.4107751,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP108636/SRX2884385,1.4775003,NRPD1,RNA polymerase subunit,Flower,NRPD1,24.0,22.0
SRP105367/SRX2902548,0.35703477,H3K27me3,histone methylation,Aerial tissue,,10.0,
SRP105367/SRX2902550,0.35866034,H3K27me3,histone methylation,Aerial tissue,,10.0,
SRP105367/SRX2902552,0.35642856,H3K27me3,histone methylation,Aerial tissue,,10.0,
SRP105367/SRX2902553,0.3005156,H3K27me3,histone methylation,Aerial tissue,,10.0,
SRP105367/SRX2902555,0.3083638,H3K27me3,histone methylation,Aerial tissue,,10.0,
SRP109012/SRX2910937,1.6040558,HD2B,DNA-binding protein,Whole plant,HD2B-GFP,14.0,20.0
SRP109012/SRX2910938,1.9548744,HD2B,DNA-binding protein,Whole plant,HD2B-GFP,14.0,20.0
SRP109012/SRX2910951,5.543419,H3K9ac,histone acetylation,Whole plant,WT,14.0,20.0
SRP109012/SRX2910952,4.298539,H3K9ac,histone acetylation,Whole plant,WT,14.0,20.0
SRP109129/SRX2916399,1.381717,NRPE1,RNA polymerase subunit,Flower,WT,,
SRP109129/SRX2916401,1.3468287,NRPE1,RNA polymerase subunit,Flower,NRPD1,,
SRP109140/SRX2916700,0.78401893,H3,histone,Embryo,WT,,22.0
SRP109140/SRX2916701,0.22546117,H3K9me2,histone methylation,Embryo,WT,,22.0
SRP109140/SRX2916703,0.8119592,H3,histone,Embryo,Adm,,22.0
SRP109140/SRX2916704,0.31045032,H3K9me2,histone methylation,Embryo,Adm,,22.0
SRP109140/SRX2916706,0.8418971,H3,histone,Embryo,Osd1,,22.0
SRP109140/SRX2916707,0.31885898,H3K9me2,histone methylation,Embryo,Osd1,,22.0
SRP109140/SRX2916709,2.9823463,H3,histone,Embryo,Admosd,,22.0
SRP109140/SRX2916710,0.3150753,H3K9me2,histone methylation,Embryo,Admosd,,22.0
SRP109140/SRX2916720,0.3749063,H3K9me2,histone methylation,Embryo,suvh2,,22.0
SRP109140/SRX2916721,0.8561989,H3,histone,Embryo,suvh2,,22.0
SRP109140/SRX2916723,0.33834016,H3K9me2,histone methylation,Embryo,suvh2,,22.0
SRP109140/SRX2916724,0.7087409,H3,histone,Embryo,suvh2,,22.0
SRP109140/SRX2916726,0.36145517,H3K9me2,histone methylation,Embryo,ahl10,,22.0
SRP109140/SRX2916727,0.7492627,H3,histone,Embryo,ahl10,,22.0
SRP109140/SRX2916729,0.30112833,H3K9me2,histone methylation,Embryo,ahl10,,22.0
SRP109140/SRX2916730,0.7292692,H3,histone,Embryo,ahl10,,22.0
SRP109140/SRX2916747,0.21666391,H3K9me2,histone methylation,Embryo,Osd1,,22.0
SRP109140/SRX2916749,0.5239718,H3,histone,Embryo,Osd1,,22.0
SRP111397/SRX2992206,5.6578865,H3ac,histone acetylation,Root,WT,17.0,22.0
SRP111397/SRX2992207,5.167973,H3ac,histone acetylation,Root,hag1,17.0,22.0
SRP111563/SRX2996431,0.92283505,H3K27me3,histone methylation,Whole plant,WT,10.0,
SRP111563/SRX2996433,0.870417,H3K27me3,histone methylation,Whole plant,kd1,10.0,
SRP111563/SRX2996435,1.0860901,H3K27me3,histone methylation,Whole plant,kd2,10.0,
SRP111909/SRX3003934,0.88782597,CLF,DNA-binding protein,Aerial tissue,WT,21.0,22.0
SRP111984/SRX3006634,1.0414857,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP111984/SRX3006644,2.838619,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP111984/SRX3006646,2.1229482,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP112618/SRX3010509,3.025959,PolII,RNA polymerase,Leaf,,21.0,22.0
SRP112618/SRX3010510,1.5386518,PolII,RNA polymerase,Leaf,,21.0,22.0
SRP112716/SRX3013817,5.669121,H3ac,histone acetylation,Leaf,WT,28.0,22.0
SRP112716/SRX3013818,5.982482,H3ac,histone acetylation,Leaf,WT,28.0,22.0
SRP112716/SRX3013819,5.6551967,H3ac,histone acetylation,Leaf,npr1-1,28.0,22.0
SRP112716/SRX3013820,5.810002,H3ac,histone acetylation,Leaf,npr1-1,28.0,22.0
SRP112716/SRX3013821,5.830742,H3ac,histone acetylation,Leaf,hac1-5,28.0,22.0
SRP112716/SRX3013822,6.154096,H3ac,histone acetylation,Leaf,hac1-5,28.0,22.0
SRP113642/SRX3040866,0.6849324,open chromatin,open chromatin,Silique,WT,7.0,
SRP113642/SRX3040869,0.74432164,open chromatin,open chromatin,Silique,WT,4.0,
SRP113667/SRX3041697,1.1956793,open chromatin,open chromatin,Whole plant,WT,6.0,20.0
SRP113667/SRX3041700,0.76374257,open chromatin,open chromatin,Leaf,WT,21.0,20.0
SRP026163/SRX310178,1.269749,FLM,Transcription factor,Whole plant,WT,10.0,16.0
SRP026163/SRX310180,1.1908022,FLM,Transcription factor,Whole plant,,10.0,16.0
SRP026163/SRX310186,1.2837291,FLM,Transcription factor,Whole plant,WT,10.0,16.0
SRP026164/SRX310193,0.52215517,KAN1,Transcription factor,,,10.0,16.0
SRP116014/SRX3119794,2.1540682,ENAP1,Transcription factor,Whole plant,,3.0,24.0
SRP116014/SRX3119798,2.4923506,ENAP1,Transcription factor,Whole plant,,3.0,24.0
SRP121459/SRX3152327,0.5657777,H3,histone,Whole plant,WT,21.0,22.0
SRP121459/SRX3152329,1.108039,H3,histone,Whole plant,pkl-1,21.0,22.0
SRP121459/SRX3152331,0.9129255,H3,histone,Whole plant,clf-28,21.0,22.0
SRP121459/SRX3152333,1.1801805,H3,histone,Whole plant,pie1-5,21.0,22.0
SRP121459/SRX3152337,0.49639624,H3K27me3,histone methylation,Whole plant,WT,21.0,22.0
SRP121459/SRX3152339,0.86909014,H3K27me3,histone methylation,Whole plant,pkl-1,21.0,22.0
SRP121459/SRX3152341,1.1287309,H3K27me3,histone methylation,Whole plant,clf-28,21.0,22.0
SRP121459/SRX3152343,0.5090985,H3K27me3,histone methylation,Whole plant,pie1-5,21.0,22.0
SRP121459/SRX3152347,2.617587,H2AZ,histone related,Whole plant,WT,21.0,22.0
SRP121459/SRX3152349,2.70978,H2AZ,histone related,Whole plant,pkl-1,21.0,22.0
SRP121459/SRX3152351,2.7022521,H2AZ,histone related,Whole plant,clf-28,21.0,22.0
SRP121459/SRX3152353,1.9201183,H2AZ,histone related,Whole plant,pie1-5,21.0,22.0
SRP117277/SRX3177101,0.87439346,PIF4,Transcription factor,Whole plant,PIF4,,27.0
SRP027413/SRX319030,3.088446,FIE,Transcription factor,Aerial tissue,,12.0,22.0
SRP117759/SRX3190300,0.1445738,H3K9me2,histone methylation,Aerial tissue,WT,6.0,21.0
SRP117759/SRX3190301,0.20005335,H3K9me2,histone methylation,Aerial tissue,caa39,6.0,21.0
SRP117759/SRX3190302,0.17555484,H3K27me3,histone methylation,Aerial tissue,WT,6.0,21.0
SRP117759/SRX3190304,0.2456703,H3K27me3,histone methylation,Aerial tissue,caa39,6.0,21.0
SRP027413/SRX319031,1.2333317,H3K27me3,histone methylation,Aerial tissue,,12.0,22.0
SRP118289/SRX3200327,12.264553,H3K4me3,histone methylation,Vegetative cells,,7.0,23.0
SRP026704/SRX320094,0.81737113,PHYA,Transcription factor,Whole plant,,4.0,
SRP027018/SRX320167,1.7939105,ERF115,Transcription factor,,,,
SRP118501/SRX3203794,0.1990441,H3K27me3,histone methylation,Vegetative cells,,7.0,23.0
SRP118512/SRX3203974,11.00194,H3K4me3,histone methylation,Vegetative cells,,7.0,23.0
SRP118518/SRX3204052,0.15296434,H3K27me3,histone methylation,Vegetative cells,,7.0,23.0
SRP118524/SRX3204068,4.1055603,H3K56ac,histone acetylation,Vegetative cells,,7.0,23.0
SRP118925/SRX3217967,0.24014495,H3K9me2,histone methylation,Vegetative cells,,7.0,23.0
SRP118928/SRX3218009,0.2561469,H3K9me2,histone methylation,Vegetative cells,,7.0,23.0
SRP101403/SRX3219575,1.1547525,AGO1,DNA-binding protein,Whole plant,WT,10.0,22.0
SRP101403/SRX3219576,1.2467828,AGO1,DNA-binding protein,Whole plant,SWI3B,10.0,22.0
SRP101403/SRX3219577,1.1698213,AGO1,DNA-binding protein,Whole plant,BRM4,10.0,22.0
SRP119038/SRX3226092,0.5346712,EBS,Transcription factor,Whole plant,ebs-1,10.0,22.0
SRP119039/SRX3226098,0.1535251,SHL,Transcription factor,Whole plant,shl,10.0,22.0
SRP119484/SRX3255810,2.5009902,SYD,DNA-binding protein,Inflorescence,WT,,22.0
SRP119484/SRX3255811,2.928631,SYD,DNA-binding protein,Inflorescence,clf,,22.0
SRP119484/SRX3255812,1.0028998,SYD,DNA-binding protein,Inflorescence,lfy,,22.0
SRP119484/SRX3255813,1.2757667,SYD,DNA-binding protein,Inflorescence,swn,,22.0
SRP119484/SRX3255814,1.7328641,SYD,DNA-binding protein,Inflorescence,syd,,22.0
SRP028132/SRX326931,1.6958495,H3K4me2,histone methylation,Leaf,,21.0,22.0
SRP028132/SRX326932,1.5529804,H3K4me2,histone methylation,Leaf,jmj14,21.0,22.0
SRP028132/SRX326933,1.7171116,H3K4me2,histone methylation,Leaf,"ldl1, ldl2",21.0,22.0
SRP028132/SRX326934,1.2663349,H3K4me2,histone methylation,Leaf,"jmj14-1, ldl1-2, ldl2",21.0,22.0
SRP028132/SRX326935,8.274454,H3K4me3,histone methylation,Leaf,WT,21.0,22.0
SRP028132/SRX326936,9.823253,H3K4me3,histone methylation,Leaf,jmj14-1,21.0,22.0
SRP028132/SRX326937,11.342912,H3K4me3,histone methylation,Leaf,ldl12,21.0,22.0
SRP028132/SRX326938,7.0602117,H3K4me3,histone methylation,Leaf,"jmj14, ldl1-2, ldl2",21.0,22.0
SRP028132/SRX326941,1.438566,H3K4me2,histone methylation,Leaf,drm2,21.0,22.0
SRP028132/SRX326942,1.3634609,H3K4me2,histone methylation,Leaf,nrpe1-11,21.0,22.0
SRP028132/SRX326943,1.4226702,H3K4me2,histone methylation,Leaf,nrpd1-4,21.0,22.0
SRP028132/SRX326946,5.9598274,H3K4me3,histone methylation,Leaf,drm2,21.0,22.0
SRP028132/SRX326947,5.939281,H3K4me3,histone methylation,Leaf,nrep1-11,21.0,22.0
SRP028132/SRX326948,6.030265,H3K4me3,histone methylation,Leaf,nrpd1-4,21.0,22.0
SRP028272/SRX328350,1.1711566,PRR7,Transcription factor,Whole plant,,15.0,22.0
SRP028272/SRX328352,1.3416449,PRR7,Transcription factor,Whole plant,,15.0,22.0
SRP120232/SRX3294791,34.73202,H3K4me3,histone methylation,Inflorescence,WT,,22.0
SRP120232/SRX3294792,4.5407424,H2AZ,histone related,Inflorescence,WT,,22.0
SRP120232/SRX3294795,3.2224047,H2AZ,histone related,Inflorescence,arp6,,22.0
SRP120232/SRX3294797,2.3517475,PolII,RNA polymerase,Inflorescence,WT,,22.0
SRP120232/SRX3294798,0.6547799,H3K27me3,histone methylation,Inflorescence,WT,,22.0
SRP120232/SRX3294799,1.0420426,H3K27me3,histone methylation,Inflorescence,arp6,,22.0
